,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/1462_van-woustraat,Van Woustraat ,1073 LM,750.0,55,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4499_blokmakerstraat,Blokmakerstraat ,1013 DG,600.0,82,3,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7005_rustenburgerstraat,Rustenburgerstraat ,1072 GZ,500.0,60,4,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9467459_derde-wittenburgerdwarsstraat,Derde Wittenburgerdwarsstraat ,1018 KR,1575.0,60,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7371_jan-van-galenstraat,Jan van Galenstraat ,1056 BJ,567.0,65,3,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2798_nickeriestraat,Nickeriestraat ,1058 VT,725.0,75,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8663_admiralengracht,Admiralengracht ,1057 GB,1025.0,60,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6149062_bloemstraat,Bloemstraat ,1016 KV,1600.0,52,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8591_appartement-admiraal,Admiraal De Ruijterweg ,1057 JT,733.0,73,3,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8711_admiraal-de-ruijterweg,Admiraal De Ruijterweg ,1057 JW,1300.0,77,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9322384_pieter-cornelisz-hooftstraat,Pieter Cornelisz. Hooftstraat ,1071 CH,1500.0,75,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9217718_bilderdijkstraat,Bilderdijkstraat ,1052 NA,1500.0,60,2,Beschikbaar per: 2020-05-01,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6691_roerstraat,Roerstraat ,1078 LR,750.0,90,3,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3549_eerste-van-swindenstraat,Eerste Van Swindenstraat ,1093 GB,1405.0,68,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6523_staalmeesterslaan,Staalmeesterslaan ,1057 PG,1170.0,85,3,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1532_staalmeesterslaan,Staalmeesterslaan ,1057 NG,1375.0,95,3,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8997636_haarlemmermeerstraat,Haarlemmermeerstraat ,1058 JP,1599.0,62,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8155_weesperstraat,Weesperstraat ,1018 DN,737.0,72,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8941_haarlemmer-houttuinen,Haarlemmer Houttuinen ,1013 GM,1550.0,93,3,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3238_woestduinstraat,Woestduinstraat ,1058 TG,1525.0,60,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1467_mauvestraat,Mauvestraat ,1073 RH,1450.0,60,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8630466_bloys-van-treslongstraat,Bloys Van Treslongstraat ,1056 XA,1600.0,51,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2115_commelinstraat,Commelinstraat ,1093 TG,775.0,78,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6443_bilderdijkkade,Bilderdijkkade ,1053 VB,1500.0,80,2,Gestoffeerd,beschikbaar,01-04-2020
